symbol,open_time,close_time,direction,confidence,entry,sl,tp,sl_pips,tp_pips,outcome,pnl_pips
EURJPYm,2024-05-13 04:00:00,2024-05-14 12:00:00,BUY,0.5927,167.96215,167.12601,169.21636,83.6,125.4,TP,125.4
EURJPYm,2024-05-13 08:00:00,2024-05-20 00:00:00,BUY,0.642,168.17315,167.30294,169.47847,87.0,130.5,TP,130.5
EURJPYm,2024-05-13 12:00:00,2024-05-16 00:00:00,BUY,0.5817,168.58715,167.66744,169.96672,92.0,138.0,SL,-92.0
EURJPYm,2024-05-14 04:00:00,2024-05-15 20:00:00,BUY,0.6005,168.76815,167.96115,169.97865,80.7,121.0,SL,-80.7
EURJPYm,2024-05-14 08:00:00,2024-05-15 20:00:00,BUY,0.5678,168.84215,168.02122,170.07354,82.1,123.1,SL,-82.1
EURJPYm,2024-05-16 04:00:00,2024-05-23 08:00:00,BUY,0.5539,167.90815,166.53072,169.97429,137.7,206.6,TP,206.6
EURJPYm,2024-05-19 20:00:00,2024-06-14 08:00:00,BUY,0.7018,169.34115,167.99436,171.36133,134.7,202.0,SL,-134.7
EURJPYm,2024-05-20 00:00:00,2024-06-04 08:00:00,BUY,0.5847,169.38615,168.14544,171.24722,124.1,186.1,SL,-124.1
EURJPYm,2024-07-11 16:00:00,2024-07-17 08:00:00,BUY,0.6411,172.54515,170.98194,174.88997,156.3,234.5,SL,-156.3
EURJPYm,2024-07-26 12:00:00,2024-07-31 08:00:00,SELL,0.6556,167.06385,170.09171,162.52206,302.8,454.2,TP,454.2
EURJPYm,2024-07-26 16:00:00,2024-07-31 08:00:00,SELL,0.6595,166.92985,169.84885,162.55135,291.9,437.9,TP,437.9
EURJPYm,2024-07-30 00:00:00,2024-07-31 04:00:00,SELL,0.5789,166.72485,168.68664,163.78217,196.2,294.3,TP,294.3
EURJPYm,2024-07-30 08:00:00,2024-07-31 00:00:00,SELL,0.5584,167.64285,169.64728,164.63621,200.4,300.7,TP,300.7
EURJPYm,2024-07-30 12:00:00,2024-07-31 08:00:00,SELL,0.6388,166.15085,168.27956,162.95778,212.9,319.3,TP,319.3
EURJPYm,2024-07-30 16:00:00,2024-07-31 08:00:00,SELL,0.6129,165.66985,167.62692,162.73424,195.7,293.6,TP,293.6
EURJPYm,2024-07-31 00:00:00,2024-07-31 08:00:00,SELL,0.5526,166.21685,168.77971,162.37256,256.3,384.4,TP,384.4
EURJPYm,2024-07-31 08:00:00,2024-08-05 00:00:00,SELL,0.7322,162.61985,165.80028,157.84921,318.0,477.1,TP,477.1
EURJPYm,2024-07-31 12:00:00,2024-08-05 00:00:00,SELL,0.6383,162.75185,165.98456,157.90278,323.3,484.9,TP,484.9
EURJPYm,2024-07-31 20:00:00,2024-08-05 04:00:00,SELL,0.5939,162.12285,165.59342,156.91699,347.1,520.6,TP,520.6
EURJPYm,2024-08-01 00:00:00,2024-08-05 04:00:00,SELL,0.7519,162.01585,165.74056,156.42878,372.5,558.7,TP,558.7
EURJPYm,2024-08-01 04:00:00,2024-08-05 04:00:00,SELL,0.8036,161.86185,165.67464,156.14267,381.3,571.9,TP,571.9
EURJPYm,2024-08-01 08:00:00,2024-08-05 04:00:00,SELL,0.689,162.42985,166.39371,156.48406,396.4,594.6,TP,594.6
EURJPYm,2024-08-01 12:00:00,2024-08-05 04:00:00,SELL,0.6907,161.88385,165.84814,155.93742,396.4,594.6,TP,594.6
EURJPYm,2024-08-01 16:00:00,2024-08-05 04:00:00,SELL,0.7365,161.57885,165.61214,155.52892,403.3,605.0,TP,605.0
